Project name:	2022-2023-5Z-fis2-INFO
Project type:	INFO			# BES INFO	
Versions:	0			# number of different versions
Questions:	40
INPUT FILES:
questionlist:	2022-2023-5Z-fis2-COMPLETE-questionlist.csv
mainlatex:	2022-2023-5Z-fis2-main.tex
qfolder:	2022-2023-5Z-fis2-questions
replacements:	

OUTPUT FILES:
qnumber:	2022-2023-5Z-fis2-INFO-qnumber.csv
qcodes: 	2022-2023-5Z-fis2-INFO-qcodes.csv
qanswerorder:	2022-2023-5Z-fis2-INFO-qanswerorder.csv
qkey:   	2022-2023-5Z-fis2-INFO-qkey.csv

givenanswers:	2022-2023-5Z-fis2-givenanswers.csv

SUBSTITUTIONS
substitution1:	2022-2023-5Z-fis2-substitutions.csv

img-dim:	6cm
# dimensione delle figure: 4.5cm, 4 columns
copy-dir: 	2022-2023-5Z-fis2-copy