Project name:	5C-5O-2019-2020-mat5-INFO
Project type:	INFO			# BES INFO	
Versions:	0			# number of different versions
Questions:	40
INPUT FILES:
questionlist:	5C-5O-2019-2020-mat5-COMPLETE-questionlist.csv
mainlatex:	5C-5O-2019-2020-mat5-main.tex
qfolder:	5C-5O-2019-2020-mat5-questions
replacements:	

OUTPUT FILES:
qnumber:	5C-5O-2019-2020-mat5-INFO-qnumber.csv
qcodes: 	5C-5O-2019-2020-mat5-INFO-qcodes.csv
qanswerorder:	5C-5O-2019-2020-mat5-INFO-qanswerorder.csv
qkey:   	5C-5O-2019-2020-mat5-INFO-qkey.csv

givenanswers:	5C-5O-2019-2020-mat5-givenanswers.csv

SUBSTITUTIONS
substitution1:	5C-5O-2019-2020-mat5-substitutions.csv

img-dim:	5cm
# dimensione delle figure: 4.5cm, 4 columns
copy-dir: 	5C-5O-2019-2020-mat5-copy